subjects,repetition,repeated,occulted,lag,RMSE,Corr,Lag_Corr,Lag_RMSE,spectral_diff,xcorr,MI,segmentLength
5,5,0,0,-22,-0.310893604399508,0.16919013700279,-0.053064716328559,240.579986960622,-0.940257770422237,-1.09182238638397,-0.690218853087014,0.401346218054199
5,6,1,1,-8,-0.923479186002618,0.754418797947843,0.833162548610355,134.886772786661,0.064569873917292,1.02657006121904,NA,-0.663395013798175
5,6,0,0,-12,-0.231073971560005,-0.161027383684952,-0.102283200383212,214.260213799375,-0.764328295094136,-1.70944554750144,-0.802155589662311,0.401346218054199
5,7,1,1,4,1.25689770526943,0.51011430829198,0.546131243720417,355.452980030561,2.24897487830635,-1.18973437804987,-0.083723763165164,-0.663395013798175
5,7,0,0,-7,-0.137493013884068,0.464595661630208,0.515213287243143,217.968793392248,0.741266276097395,-0.005437727511649,0.179558036833259,0.401346218054199
5,8,1,1,24,0.709807707848788,-0.067694804599484,-0.800953240101296,380.399048335179,-0.389669621986046,-0.680154042534382,-0.812783883089602,-0.663395013798175
5,8,0,0,20,-0.738403420863696,0.58834500002206,0.076571456997156,253.161391348755,0.069753657320159,0.351230634622282,1.04275903392844,0.401346218054199
5,9,1,0,6,-0.687480696935626,0.007075509711157,-0.043444059791571,179.283323828139,-0.862791566852115,0.32744123986531,-0.908685018075064,1.3888078443689
5,9,0,1,7,1.43066453972695,-0.799681635617144,-0.86743213088714,379.386216043115,-0.577749099851968,-1.79384541822657,NA,-1.12707264702421
5,10,1,0,21,-1.19239705105533,0.378524955385097,0.024157703433714,161.373146478338,-0.799461210336202,-0.297478277276706,-0.434933371154047,1.3888078443689
5,10,0,1,20,-0.152409630641202,0.011898663104056,0.905087641389018,62.220561321139,-0.00383873760948,-0.052824109428947,-0.811456750577819,-1.33315159512467
5,11,1,0,31,-0.755278049369479,0.182454231562862,-0.74678004899283,234.856506639271,-0.74744025128954,0.010554999476771,-0.847090157977897,1.3888078443689
5,11,0,1,-12,1.25330457879027,-0.317503027769691,-0.264421061068253,350.360107420466,0.972421920626373,-1.91716060283444,-0.819289545604733,-0.328516723134928
5,12,1,0,31,-0.514185634608937,0.056313031445373,-0.754792258321483,231.952379691771,-0.645484359250098,-0.661184062165419,-0.878744005284881,1.3888078443689
5,12,0,1,-6,0.899577380976112,0.055462482235952,-0.153783691701341,351.571793283628,0.087469507085295,0.024592759834112,-0.898332845496663,-0.10526452935943
6,1,1,0,6,-1.34477817203288,0.746612741295784,0.780511607294337,114.240659557853,-1.22127937423421,0.991573900490212,2.29819103246155,2.80560061255956
6,1,0,1,2,-1.1887920255414,-0.392689230466461,-0.154899834642589,128.267660957985,-1.20619818039001,0.290803554016673,-0.821454008289418,-1.77965598267566
6,2,1,0,-6,-0.984999214028761,0.562116721464201,0.558457704333753,153.909752413238,-0.334463108406619,0.230652397238233,0.705049084381051,2.80560061255956
6,2,0,1,-13,-0.497151019699844,0.413581760526251,0.511885757823022,179.215278736997,-0.42841888920828,-0.278894604147599,-0.527415330545363,-0.929580321761268
6,3,1,1,1,-0.581698564330624,0.495858900303396,0.485019439845335,189.552305909247,0.231940568266522,-0.093568656940339,0.224616868114117,-0.10526452935943
6,3,0,0,28,-0.633217626861863,0.061611141374541,-0.431204519519982,214.056351947014,-1.20104709684594,-1.13721661459475,-0.914732534701768,-0.457316065697715
6,4,1,0,4,-1.13515838719814,0.74096827332328,0.753915595617921,136.434471107981,-0.817538764716623,0.928402885312234,2.01552156426215,2.80560061255956
6,4,0,1,18,2.50271248364134,-0.413935769327984,-0.471801169767272,468.237331876311,NA,NA,-0.11007895160352,-0.10526452935943
6,5,1,0,4,-0.674798374095248,0.589521973998705,0.596123102746896,176.541364782352,-0.41666773074912,0.13513494665912,0.757465466793178,2.80560061255956
6,5,0,1,-15,-0.961489032930582,0.372222709612152,0.668013854420146,145.879182455436,-0.676506051111081,0.468986582371128,-0.702947967942034,-1.46195093768745
6,6,1,1,-1,-0.705917452223512,0.688902118094399,0.683626391858559,178.749863606016,-0.265949481695053,0.68459521562388,1.55478220959477,-0.10526452935943
6,6,0,0,14,-0.738466206992799,0.245488612329208,0.4501473759817,142.812305057536,-1.39067549066403,-0.587779099290982,-0.511859488806919,-0.457316065697715
6,7,1,0,-7,-1.44692612813934,0.618856293597957,0.646814965235984,108.644244657273,-1.12513965258881,0.472453914628941,0.98105737740034,2.80560061255956
6,7,0,1,-20,0.977302625799894,0.288530160369697,0.777345380590722,304.308727331277,2.13454020166643,-0.335683483226328,-0.844676876057766,-1.24728536674948
