subjects,day,repetition,segment,repeated,RMSE,FF,FB,pupil_size,segmentLength,PSD,sampEnt
1,1,1,1,0,2.5324937185108,-1.55743801501773,0.98418985885226,NA,428,-0.552217946409568,0.783942878121321
1,1,1,2,1,-0.100190088362361,0.634190722586113,-0.465000947090381,NA,438,-0.189508317987813,1.28910308573382
1,1,1,3,0,0.270357074051463,-1.38216098886995,-1.21573893648886,NA,364,-0.889815193557567,0.274120821252582
1,1,1,4,1,1.2652909036734,-0.509487813567235,-0.817328109067274,NA,439,-0.74708234064996,1.54900808131385
1,1,1,5,0,-0.957355264741408,-0.278160237894189,1.40308616259316,NA,480,-0.493270048376664,-1.28405211657107
1,1,2,1,0,0.261097980421202,-1.77286698750302,-0.525517408243785,NA,339,-0.913638309241956,-0.524550670448838
1,1,2,2,1,0.158983765833614,0.332474578228493,-1.52642603303,NA,438,-0.253088167175547,0.5578061283227
1,1,2,3,0,0.05820074490806,-0.477346024958825,1.89163384717669,NA,429,0.096779120660176,-0.392158788339611
1,1,2,4,1,0.269699255588422,0.983164649648878,-0.093746558551187,NA,439,-0.51302029724755,0.894277217668238
1,1,2,5,0,-0.576834181428035,-0.000644310959573,-0.538212307902013,NA,504,-0.190621046210409,-1.00180170493619
1,1,3,1,0,-0.141126419883148,-0.057808238159378,-0.412750894113996,NA,428,-0.837643830974401,0.701068397881825
1,1,3,2,1,-0.40953645394757,0.545162941280862,-0.519419020391612,NA,438,-0.82658031740998,0.80268189717876
1,1,3,3,0,1.45387367036763,-0.666891426161867,0.673576836375979,NA,439,-0.6209810551242,1.26368133442876
1,1,3,4,1,0.243102246463566,-0.098267816922098,-0.255939361888973,NA,439,-0.81359221463337,0.683680034123573
1,1,3,5,0,2.87954788617654,-0.52041613205481,-1.34509705502628,NA,405,-0.851011705602683,1.0223296800079
1,1,4,1,0,1.0832401862151,-1.80848527832563,-0.530109329202803,NA,343,-0.916171899408246,0.048743820336578
1,1,4,2,1,1.22074224292325,1.33179893892122,-0.286515983737586,NA,438,-0.841893028103668,1.23499658123878
1,1,4,3,0,-0.564223216449234,-0.458970597883087,-0.200189738162493,NA,421,-0.426472565866682,-1.14881871495706
1,1,4,4,1,1.11546140433497,-0.614645579838391,0.097425081582898,NA,439,-0.781399635056433,1.19397201216619
1,1,4,5,0,1.15677874125035,-0.724879538671404,-1.35569913165156,NA,508,-0.793056586650967,-0.566324925773768
