subjects,repetition,segment,lag,RMSE,correlation,lagCorr,lagRMSE,segmentLength,FB,FF,MI,VMD,samEnt,pupil_size,PSD,repeated
4,21,2,3,0.143673502934254,0.672802055843807,0.692825192352487,0.293267148747025,545,-0.182854837668728,-0.096234252230195,0.520390523274526,0.520390523274526,-0.025136524929535,1.15619718066625,-0.563642748675629,1
4,21,3,14,1.39988009936575,0.351961229444325,0.543118320559099,0.319603445609209,453,-0.201944005071537,-0.974911481738012,0.274101891645375,0.274101891645375,0.025077394500999,1.09247333255533,0.653721647786464,0
4,21,4,16,0.861118886808324,0.437119446525569,0.804556847584056,0.222106480700034,545,1.73714839455004,-0.235150443696372,0.586806456426434,0.586806456426434,0.001914030184942,0.538432325862402,-0.599294299514964,1
4,21,5,16,0.279743132594156,0.333527488971745,0.614253220116064,0.245501208557616,374,1.6669971852329,-1.46594630563273,0.239442455017931,0.239442455017931,-0.011759933537897,-0.124629249118186,0.944647983617998,0
4,22,1,16,0.130288888536222,0.534500927743064,0.921809519214322,0.139570959118824,378,0.068045296523077,0.984955333250354,0.83590112584763,0.83590112584763,-0.016278140989795,NA,0.016454356855406,0
4,22,2,14,-0.313413077593179,0.621108162689181,0.881465128347853,0.151496487791074,545,0.172584242098391,0.616437386124357,0.73877328925032,0.73877328925032,0.017145313784516,-0.18703283756329,-0.576700080348411,1
4,22,3,16,-0.256103599364212,0.449425533724094,0.674015041730432,0.216681265360048,393,1.14009193265989,-0.429734739656775,0.499787135778772,0.499787135778772,0.010775739487519,0.268915731627989,-0.844569302871819,0
4,22,4,18,0.549347930964503,0.422966814805586,0.918077030289121,0.142244367115361,545,1.09112901860233,0.265897945082801,0.691258941570013,0.691258941570013,-0.021662508831686,0.143543529824425,-0.681582819548209,1
4,22,5,13,-0.460791260205692,0.501691967035249,0.729535818860681,0.200160986491105,424,-0.419144359573874,-0.358527887851802,0.434237965093079,0.434237965093079,0.082040237766555,-0.056580772700772,-0.068631418094751,0
4,23,1,10,-0.395494306351266,0.544018994964329,0.608143408308122,0.247954699363343,432,-0.8955839917972,-0.279318113640211,0.430243855832532,0.430243855832532,-0.088745294212957,NA,-0.49519329826687,0
4,23,2,6,-0.222927044121979,0.593484157706397,0.627578299796192,0.267640819926861,545,0.207351957451459,0.066471099999643,0.587179950938888,0.587179950938888,0.071703570151576,1.45909551927581,-0.680613311915741,1
4,23,3,11,-0.536372991954288,0.55891176710774,0.767293638632038,0.185918865471092,492,1.06403141653511,-0.194560129557967,0.561258439619172,0.561258439619172,0.010110167827782,0.094345074067833,-0.801065039676776,0
4,23,4,9,-0.613464233885912,0.669796294784459,0.725866820402956,0.228289959264224,545,0.877198169168432,0.784788342908451,0.824363340107768,0.824363340107768,-0.032224450604495,-0.016280606605772,-0.579638223741704,1
4,23,5,23,-1.35839766704196,0.561167875875957,0.185489646014146,0.266263467267458,543,0.028218266905712,-0.552986488325904,0.40447260665356,0.40447260665356,0.039405284104432,0.294788565347539,-1.56078322087376,0
4,24,1,16,0.743042474212189,0.245734877827255,0.571258927429476,0.268898259923425,229,1.70187402490251,-1.174203548488,0.322779930279342,0.322779930279342,0.090307176149502,NA,0.446161571641174,0
4,24,2,-3,-0.196989120665974,0.559787225654603,0.566282530147644,0.2766308539696,545,-0.26860418783155,-0.322102299083094,0.452651911268261,0.452651911268261,-0.103531460735343,0.592016829333808,-0.8109146632413,1
4,24,3,9,1.35673483892484,0.518437695476238,0.506622362123447,0.386745866525713,501,-0.149678809222706,-0.906800550927665,0.295975331046237,0.295975331046237,0.095302381374797,0.992674769114053,0.725989794665953,0
4,24,4,3,0.123454445766378,0.511086864887309,0.502810308833529,0.302485136023917,545,0.669129227252223,0.241796125993997,0.661412601655273,0.661412601655273,-0.095645708840495,0.9120697189399,-0.782432729993186,1
4,24,5,12,-0.484369277842342,0.56032484428902,0.681262030181243,0.226511745811973,410,-0.993635208391762,-0.345423647505063,0.406421728053863,0.406421728053863,0.097424760462329,-0.280214246812266,-1.40631816504534,0
4,25,1,13,0.427901995118947,0.535829161603969,0.624670420089265,0.293260447022605,530,0.880338625414649,-0.946171927668834,0.341416480305546,0.341416480305546,-0.16274557666834,NA,-0.466359523802126,0
4,25,2,16,0.554006912094178,0.401845568283755,0.711905037394482,0.229193094367216,545,0.85783157455788,-0.647797007434154,0.423461225215883,0.423461225215883,0.166333791556039,-0.167481424452982,-0.688835294070983,1
4,25,3,16,0.357347068651251,0.522223628896893,0.790799820974482,0.222695754780929,375,0.684378925881485,-0.521907054129352,0.449095019177284,0.449095019177284,-0.184639426814028,1.17972940840015,1.48021693116701,0
4,25,4,9,-0.75839398013298,0.695458088367055,0.790519671691891,0.200537146161227,545,0.273365771262252,0.381215659552558,0.678643184687437,0.678643184687437,0.168229018505316,-0.509214585816887,-0.556780316377801,1
4,25,5,15,0.326418708321563,0.383496019662828,0.735004639218036,0.212760806706599,254,2.86918771367931,-1.19153582806431,0.381894117405812,0.381894117405812,-0.290281444110219,-0.347398536727158,2.57605974862848,0
4,26,1,12,0.150684553778417,0.510980172216766,0.56173372342399,0.279640863841456,380,1.36369988062009,-1.11599675999635,0.320498716954836,0.320498716954836,-0.06947964150403,NA,0.52737263630838,0
4,26,2,9,0.236814830736304,0.629955211787715,0.704193836877415,0.284761642114762,545,0.684423893501025,-0.104612206402506,0.565566379090972,0.565566379090972,0.048708439012824,0.508838601904146,-0.724655465242101,1
4,26,3,12,0.426916670716854,0.552619086844375,0.667714293684956,0.279305120460651,569,1.76655137021761,-0.960544144241526,0.385956616961611,0.385956616961611,-0.0668493271904,0.376678567512785,0.41514066637886,0
4,26,4,13,0.029761865485487,0.517593722714744,0.608925958962876,0.269782550021965,545,0.291072272290843,-0.659113363038792,0.389252663994844,0.389252663994844,0.067307746779547,0.653529480915549,-0.741311954782603,1
4,26,5,15,0.585063137784486,0.528240812871475,0.567808072740525,0.323021560460207,445,0.991030335787121,-0.755366978925743,0.400735297902658,0.400735297902658,-0.012749560816984,0.615793409487966,1.22606122496394,0
4,27,1,17,0.171587958921739,0.357242534617372,0.542224070057857,0.263710736891005,314,1.5697437134797,-1.31902853442333,0.275119808569483,0.275119808569483,-0.037385922357969,NA,-0.977738110483111,0
